ts	score	is_pf	is_pnl_pct	is_trades	oos_pf	oos_pnl_pct	oos_trades	status	description
20260710T095600	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_mtf
20260710T095600	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep
20260710T095601	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_avwap
20260710T095601	-15.0000	0.000	0.000	0	0.000	0.000	0	combo	preregistered hardened_sweep_avwap
20260710T095601	-15.0000	0.000	0.000	0	0.000	0.000	0	baseline	baseline after combo rank
20260710T095607	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=10
20260710T095607	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	sl_atr=2.5
20260710T095608	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_long=40.0
20260710T095608	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	max_hold_bars=32
20260710T095609	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	left_bars=5, left_bars=2
20260710T095609	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_long=45.0, max_hold_bars=32
20260710T095609	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=4h
20260710T095610	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=65.0, sl_atr=1.0
20260710T095610	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=14
20260710T095611	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=7, tp_atr=3.0
20260710T095611	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_mtf
20260710T095617	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=21
20260710T095617	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_sweep_avwap, rsi_short=55.0
20260710T095618	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	rsi_short=75.0, fib_timeframe=4h
20260710T095618	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=3, left_bars=7
20260710T095618	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=1d
20260710T095619	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	tp_atr=1.0, rsi_long=45.0
20260710T095619	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	fib_timeframe=1d
20260710T095620	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	right_bars=5, tp_atr=1.0
20260710T095620	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	atr_period=14, max_hold_bars=32
20260710T095621	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	left_bars=3
20260710T095621	-15.0000	0.000	0.000	0	0.000	0.000	0	discard	combo_id=hardened_avwap
