pair,mode,buffer_pips,confirm_bars,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct,sharpe
EUR/GBP,V0,0.0,0,40,19,21,0.4750,-37.46,-0.37,0.81,8.58,9.55,0.56,-0.27
EUR/GBP,V0,2.0,0,40,19,21,0.4750,-37.46,-0.37,0.81,8.58,9.55,0.56,-0.27
EUR/GBP,V0,5.0,0,40,19,21,0.4750,-37.46,-0.37,0.81,8.58,9.55,0.56,-0.27
EUR/GBP,V1,0.0,0,34,16,18,0.4706,-29.98,-0.30,0.83,8.84,9.52,0.65,-0.20
EUR/GBP,V1,2.0,0,27,12,15,0.4444,-42.05,-0.42,0.72,9.05,10.04,0.89,-0.32
EUR/GBP,V1,5.0,0,16,8,8,0.5000,-5.70,-0.06,0.93,10.03,10.74,0.56,-0.06
EUR/GBP,V2,0.0,0,19,14,5,0.7368,61.66,0.62,2.12,8.34,11.03,0.16,0.84
EUR/GBP,V2,2.0,0,7,7,0,1.0000,58.67,0.59,999.00,8.38,0.00,0.00,0.00
EUR/GBP,V2,5.0,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EUR/GBP,V3,0.0,0,38,19,19,0.5000,-18.49,-0.18,0.90,8.77,9.74,0.46,-0.17
EUR/GBP,V3,2.0,0,34,18,16,0.5294,4.65,0.05,1.03,8.87,9.69,0.57,0.02
EUR/GBP,V3,5.0,0,22,12,10,0.5455,-2.01,-0.02,0.98,8.81,10.78,0.53,-0.04
EUR/GBP,V4,0.0,0,2,2,0,1.0000,11.62,0.12,999.00,5.81,0.00,0.00,0.00
EUR/GBP,V4,2.0,0,16,9,7,0.5625,8.07,0.08,1.13,7.88,8.98,0.22,0.18
EUR/GBP,V4,5.0,0,26,12,14,0.4615,-41.74,-0.42,0.68,7.39,9.32,0.49,-0.18
EUR/GBP,V5,0.0,0,20,5,15,0.2500,-103.23,-1.03,0.28,7.92,9.52,1.03,-2.22
EUR/GBP,V5,0.0,2,29,12,17,0.4138,-56.50,-0.57,0.64,8.54,9.35,0.80,-0.71
EUR/GBP,V5,2.0,0,17,5,12,0.2941,-76.86,-0.77,0.34,8.05,9.76,0.79,-0.78
EUR/GBP,V5,2.0,2,25,11,14,0.4400,-41.69,-0.42,0.70,8.79,9.89,0.76,-0.59
EUR/GBP,V5,5.0,0,10,3,7,0.3000,-49.56,-0.50,0.34,8.48,10.72,0.54,-4.09
EUR/GBP,V5,5.0,2,15,7,8,0.4667,-17.69,-0.18,0.79,9.74,10.74,0.56,-0.43
GBP/CHF,V0,0.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,2.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V0,5.0,0,44,21,23,0.4773,-157.31,-1.57,0.65,13.82,19.46,1.81,-0.43
GBP/CHF,V1,0.0,0,33,22,11,0.6667,88.99,0.89,1.40,14.19,20.29,1.17,0.22
GBP/CHF,V1,2.0,0,29,19,10,0.6552,80.13,0.80,1.44,13.74,18.10,1.14,0.21
GBP/CHF,V1,5.0,0,17,10,7,0.5882,11.49,0.11,1.08,14.96,19.73,0.97,-0.03
GBP/CHF,V2,0.0,0,27,14,13,0.5185,-47.44,-0.47,0.80,13.16,17.82,0.71,-0.09
GBP/CHF,V2,2.0,0,19,8,11,0.4211,-109.69,-1.10,0.45,11.22,18.13,1.27,-1.19
GBP/CHF,V2,5.0,0,7,2,5,0.2857,-74.94,-0.75,0.18,8.34,18.32,0.92,0.00
GBP/CHF,V3,0.0,0,41,22,19,0.5366,-67.34,-0.67,0.82,13.55,19.23,1.58,-0.11
GBP/CHF,V3,2.0,0,39,21,18,0.5385,-55.32,-0.55,0.83,13.31,18.60,1.58,-0.23
GBP/CHF,V3,5.0,0,36,24,12,0.6667,117.11,1.17,1.56,13.54,17.33,1.11,0.34
GBP/CHF,V4,0.0,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GBP/CHF,V4,2.0,0,10,6,4,0.6000,4.80,0.05,1.05,16.16,23.03,0.51,-0.29
GBP/CHF,V4,5.0,0,21,13,8,0.6190,15.30,0.15,1.09,14.42,21.53,1.07,-0.00
GBP/CHF,V5,0.0,0,18,11,7,0.6111,8.75,0.09,1.07,12.82,18.90,0.89,-0.18
GBP/CHF,V5,0.0,2,29,18,11,0.6207,10.10,0.10,1.04,13.07,20.48,1.57,-0.02
GBP/CHF,V5,2.0,0,14,9,5,0.6429,17.82,0.18,1.20,11.93,17.91,0.68,0.16
GBP/CHF,V5,2.0,2,25,15,10,0.6000,4.32,0.04,1.02,12.49,18.30,1.35,-0.05
GBP/CHF,V5,5.0,0,8,5,3,0.6250,11.93,0.12,1.22,13.11,17.88,0.54,0.09
GBP/CHF,V5,5.0,2,14,8,6,0.5714,-1.65,-0.02,0.99,14.31,19.35,0.94,-0.33
EUR/CHF,V0,0.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,2.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V0,5.0,0,39,18,21,0.4615,-76.72,-0.77,0.74,12.25,14.15,1.36,-0.41
EUR/CHF,V1,0.0,0,27,14,13,0.5185,29.72,0.30,1.17,14.39,13.21,0.43,0.50
