pair,variant,trades,wins,losses,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_drawdown_pct
EUR/GBP,V1_b0,33,17,16,0.5152,-25.42,-0.25,0.83,7.56,9.62,0.58
EUR/GBP,V1_b0.5,32,16,16,0.5000,-35.00,-0.35,0.78,7.63,9.82,0.62
EUR/GBP,V1_b1,29,14,15,0.4828,-36.26,-0.36,0.76,7.98,9.87,0.63
EUR/GBP,V1_b2,25,12,13,0.4800,-38.95,-0.39,0.71,7.84,10.24,0.83
EUR/GBP,V2_b0,19,12,7,0.6316,45.81,0.46,1.72,9.09,9.04,0.17
EUR/GBP,V2_b0.5,16,11,5,0.6875,71.52,0.72,3.09,9.62,6.86,0.17
EUR/GBP,V2_b1,14,10,4,0.7143,64.07,0.64,3.04,9.55,7.85,0.14
EUR/GBP,V2_b2,7,5,2,0.7143,41.67,0.42,6.09,9.97,4.10,0.08
EUR/CAD,V1_b0,39,16,23,0.4103,-111.75,-1.12,0.61,10.91,12.45,1.21
EUR/CAD,V1_b0.5,38,15,23,0.3947,-121.53,-1.22,0.58,11.03,12.48,1.22
EUR/CAD,V1_b1,37,14,23,0.3784,-130.43,-1.30,0.55,11.20,12.49,1.31
EUR/CAD,V1_b2,33,14,19,0.4242,-95.62,-0.96,0.62,10.92,13.08,1.06
EUR/CAD,V2_b0,28,17,11,0.6071,-7.74,-0.08,0.95,8.08,13.19,0.48
EUR/CAD,V2_b0.5,27,16,11,0.5926,-23.05,-0.23,0.84,7.62,13.18,0.51
EUR/CAD,V2_b1,26,15,11,0.5769,-31.15,-0.31,0.79,7.59,13.18,0.63
EUR/CAD,V2_b2,26,15,11,0.5769,-20.53,-0.21,0.86,8.37,13.28,0.62
EUR/CHF,V1_b0,26,15,11,0.5769,22.92,0.23,1.17,10.64,12.42,0.35
EUR/CHF,V1_b0.5,23,13,10,0.5652,6.57,0.07,1.05,10.28,12.71,0.53
EUR/CHF,V1_b1,22,12,10,0.5455,5.81,0.06,1.05,11.08,12.71,0.53
EUR/CHF,V1_b2,18,10,8,0.5556,21.95,0.22,1.21,12.59,13.00,0.55
EUR/CHF,V2_b0,24,9,15,0.3750,-88.36,-0.88,0.55,11.77,12.95,1.02
EUR/CHF,V2_b0.5,22,10,12,0.4545,-85.21,-0.85,0.55,10.28,15.67,1.07
EUR/CHF,V2_b1,17,5,12,0.2941,-133.72,-1.34,0.29,10.75,15.62,1.41
EUR/CHF,V2_b2,16,4,12,0.2500,-137.13,-1.37,0.27,12.64,15.64,1.37
GBP/CHF,V1_b0,32,19,13,0.5938,68.05,0.68,1.32,14.79,16.38,1.11
GBP/CHF,V1_b0.5,32,20,12,0.6250,93.77,0.94,1.49,14.24,15.92,1.11
GBP/CHF,V1_b1,29,18,11,0.6207,77.86,0.78,1.46,13.71,15.35,1.09
GBP/CHF,V1_b2,28,17,11,0.6071,63.69,0.64,1.38,13.68,15.35,1.09
GBP/CHF,V2_b0,27,14,13,0.5185,-26.86,-0.27,0.88,13.43,16.53,0.66
GBP/CHF,V2_b0.5,27,14,13,0.5185,-26.26,-0.26,0.88,13.47,16.53,0.66
GBP/CHF,V2_b1,26,13,13,0.5000,-45.61,-0.46,0.79,12.95,16.46,0.65
GBP/CHF,V2_b2,19,7,12,0.3684,-132.50,-1.32,0.38,11.62,17.82,1.49
